Match Number,Round Number,Date,Location,Home Team,Away Team,Result
45,5,22/09/2023 18:45,Ettore Giardiniero - Via del mare,Lecce,Genoa,1 - 0
46,5,23/09/2023 13:00,San Siro,AC Milan,Verona,1 - 0
48,5,23/09/2023 16:00,Mapei Stadium - Città del Tricolore,Sassuolo,Juventus,4 - 2
44,5,23/09/2023 18:45,Olimpico,Lazio,Monza,1 - 1
43,5,24/09/2023 10:30,Carlo Castellani,Empoli,Inter,0 - 1
41,5,24/09/2023 13:00,Atleti Azzurri d'Italia,Atalanta,Cagliari,2 - 0
50,5,24/09/2023 13:00,Friuli,Udinese,Fiorentina,0 - 2
42,5,24/09/2023 16:00,Renato Dall'Ara,Bologna,Napoli,0 - 0
49,5,24/09/2023 18:45,Olimpico Grande Torino,Torino,Roma,1 - 1
56,6,26/09/2023 18:45,Juventus Stadium,Juventus,Lecce,1 - 0
51,6,27/09/2023 16:30,Unipol Domus,Cagliari,AC Milan,1 - 3
52,6,27/09/2023 16:30,Carlo Castellani,Empoli,Salernitana,1 - 0
60,6,27/09/2023 16:30,Marcantonio Bentegodi,Verona,Atalanta,0 - 1
55,6,27/09/2023 18:45,San Siro,Inter,Sassuolo,1 - 2
57,6,27/09/2023 18:45,Olimpico,Lazio,Torino,2 - 0
59,6,27/09/2023 18:45,Diego Armando Maradona,Napoli,Udinese,4 - 1
53,6,28/09/2023 16:30,Benito Stirpe,Frosinone,Fiorentina,1 - 1
58,6,28/09/2023 16:30,Brianteo,Monza,Bologna,0 - 0
54,6,28/09/2023 18:45,Luigi Ferraris,Genoa,Roma,4 - 1
64,7,30/09/2023 13:00,Ettore Giardiniero - Via del mare,Lecce,Napoli,0 - 4
65,7,30/09/2023 16:00,San Siro,AC Milan,Lazio,2 - 0
67,7,30/09/2023 18:45,Arechi,Salernitana,Inter,0 - 4
62,7,01/10/2023 10:30,Renato Dall'Ara,Bologna,Empoli,3 - 0
70,7,01/10/2023 13:00,Friuli,Udinese,Genoa,2 - 2
61,7,01/10/2023 16:00,Atleti Azzurri d'Italia,Atalanta,Juventus,0 - 0
66,7,01/10/2023 18:45,Olimpico,Roma,Frosinone,2 - 0
68,7,02/10/2023 16:30,Mapei Stadium - Città del Tricolore,Sassuolo,Monza,0 - 1
69,7,02/10/2023 16:30,Olimpico Grande Torino,Torino,Verona,0 - 0
63,7,02/10/2023 18:45,Artemio Franchi,Fiorentina,Cagliari,3 - 0
75,8,06/10/2023 16:30,Carlo Castellani,Empoli,Udinese,0 - 0
71,8,06/10/2023 18:45,Ettore Giardiniero - Via del mare,Lecce,Sassuolo,1 - 1
78,8,07/10/2023 13:00,San Siro,Inter,Bologna,2 - 2
79,8,07/10/2023 16:00,Juventus Stadium,Juventus,Torino,2 - 0
77,8,07/10/2023 18:45,Luigi Ferraris,Genoa,AC Milan,0 - 1
72,8,08/10/2023 10:30,Brianteo,Monza,Salernitana,3 - 0
76,8,08/10/2023 13:00,Benito Stirpe,Frosinone,Verona,2 - 1
80,8,08/10/2023 13:00,Olimpico,Lazio,Atalanta,3 - 2
74,8,08/10/2023 16:00,Unipol Domus,Cagliari,Roma,1 - 4
73,8,08/10/2023 18:45,Diego Armando Maradona,Napoli,Fiorentina,1 - 3
90,9,21/10/2023 13:00,Marcantonio Bentegodi,Verona,Napoli,1 - 3
88,9,21/10/2023 16:00,Olimpico Grande Torino,Torino,Inter,0 - 3
87,9,21/10/2023 18:45,Mapei Stadium - Città del Tricolore,Sassuolo,Lazio,0 - 2
85,9,22/10/2023 10:30,Olimpico,Roma,Monza,1 - 0
82,9,22/10/2023 13:00,Renato Dall'Ara,Bologna,Frosinone,2 - 1
86,9,22/10/2023 13:00,Arechi,Salernitana,Cagliari,2 - 2
81,9,22/10/2023 16:00,Atleti Azzurri d'Italia,Atalanta,Genoa,2 - 0
84,9,22/10/2023 18:45,San Siro,AC Milan,Juventus,0 - 1
89,9,23/10/2023 16:30,Friuli,Udinese,Lecce,1 - 1
83,9,23/10/2023 18:45,Artemio Franchi,Fiorentina,Empoli,0 - 2
93,10,27/10/2023 18:45,Luigi Ferraris,Genoa,Salernitana,1 - 0
100,10,28/10/2023 13:00,Mapei Stadium - Città del Tricolore,Sassuolo,Bologna,1 - 1
97,10,28/10/2023 16:00,Ettore Giardiniero - Via del mare,Lecce,Torino,0 - 1
95,10,28/10/2023 18:45,Juventus Stadium,Juventus,Verona,1 - 0
91,10,29/10/2023 11:30,Unipol Domus,Cagliari,Frosinone,4 - 3
98,10,29/10/2023 14:00,Brianteo,Monza,Udinese,1 - 1
94,10,29/10/2023 17:00,San Siro,Inter,Roma,1 - 0
99,10,29/10/2023 19:45,Diego Armando Maradona,Napoli,AC Milan,2 - 2
92,10,30/10/2023 17:30,Carlo Castellani,Empoli,Atalanta,0 - 3
96,10,30/10/2023 19:45,Olimpico,Lazio,Fiorentina,1 - 0
102,11,03/11/2023 19:45,Renato Dall'Ara,Bologna,Lazio,1 - 0
108,11,04/11/2023 14:00,Arechi,Salernitana,Napoli,0 - 2
101,11,04/11/2023 17:00,Atleti Azzurri d'Italia,Atalanta,Inter,1 - 2
106,11,04/11/2023 19:45,San Siro,AC Milan,Udinese,0 - 1
110,11,05/11/2023 11:30,Marcantonio Bentegodi,Verona,Monza,1 - 3
103,11,05/11/2023 14:00,Unipol Domus,Cagliari,Genoa,2 - 1
107,11,05/11/2023 17:00,Olimpico,Roma,Lecce,2 - 1
104,11,05/11/2023 19:45,Artemio Franchi,Fiorentina,Juventus,0 - 1
