Match Number,Round Number,Date,Location,Home Team,Away Team,Result
73,9,28/10/2023 13:30,Mercedes-Benz Arena,VfB Stuttgart,Hoffenheim,2 - 3
74,9,28/10/2023 13:30,WWK ARENA,Augsburg,Wolfsburg,3 - 2
76,9,28/10/2023 13:30,wohninvest WESERSTADION,Werder Bremen,Union Berlin,2 - 0
77,9,28/10/2023 13:30,BORUSSIA-PARK,Borussia M.Gladbach,FC Heidenheim,2 - 1
81,9,28/10/2023 13:30,Allianz Arena,Bayern Munich,Darmstadt,8 - 0
80,9,28/10/2023 16:30,Red Bull Arena,RasenBallsport Leipzig,FC Cologne,6 - 0
78,9,29/10/2023 14:30,Deutsche Bank Park,Eintracht Frankfurt,Borussia Dortmund,3 - 3
79,9,29/10/2023 16:30,BayArena,Bayer Leverkusen,Freiburg,2 - 1
82,10,03/11/2023 19:30,Merck-Stadion am Böllenfalltor,Darmstadt,Bochum,1 - 2
84,10,04/11/2023 14:30,PreZero Arena,Hoffenheim,Bayer Leverkusen,2 - 3
85,10,04/11/2023 14:30,RheinEnergieSTADION,FC Cologne,Augsburg,1 - 1
86,10,04/11/2023 14:30,MEWA ARENA,Mainz 05,RasenBallsport Leipzig,2 - 0
88,10,04/11/2023 14:30,Europa-Park Stadion,Freiburg,Borussia M.Gladbach,3 - 3
89,10,04/11/2023 14:30,An der Alten Försterei,Union Berlin,Eintracht Frankfurt,0 - 3
90,10,04/11/2023 17:30,SIGNAL IDUNA PARK,Borussia Dortmund,Bayern Munich,0 - 4
87,10,05/11/2023 14:30,Volkswagen Arena,Wolfsburg,Werder Bremen,2 - 2
83,10,05/11/2023 16:30,Voith-Arena,FC Heidenheim,VfB Stuttgart,2 - 0
96,11,10/11/2023 19:30,BORUSSIA-PARK,Borussia M.Gladbach,Wolfsburg,4 - 0
91,11,11/11/2023 14:30,Merck-Stadion am Böllenfalltor,Darmstadt,Mainz 05,0 - 0
92,11,11/11/2023 14:30,Mercedes-Benz Arena,VfB Stuttgart,Borussia Dortmund,2 - 1
93,11,11/11/2023 14:30,WWK ARENA,Augsburg,Hoffenheim,1 - 1
99,11,11/11/2023 14:30,Allianz Arena,Bayern Munich,FC Heidenheim,4 - 2
